ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
"4","20",,"0x83f6","0x02","0","1","0","0","85","6","0x5dca","157.240.228.60","192.168.1.2","96","0x00","443","49971","458","1115","44","32","0x0018","0","0","0","1","1","0","0","67840","0xb844","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf6ec","192.168.1.2","157.240.228.60","52","0x00","49971","443","1146","502","0","32","0x0010","0","0","0","0","1","0","0","131008","0x16ee","0",
"4","20",,"0x83f7","0x02","0","1","0","0","85","6","0x5891","157.240.228.60","192.168.1.2","1432","0x00","443","49971","502","1115","1380","32","0x0010","0","0","0","0","1","0","0","67840","0xc4c2","0",
"4","20",,"0x83f8","0x02","0","1","0","0","85","6","0x5890","157.240.228.60","192.168.1.2","1432","0x00","443","49971","1882","1115","1380","32","0x0010","0","0","0","0","1","0","0","67840","0x070c","0",
"4","20",,"0x83f9","0x02","0","1","0","0","85","6","0x5ce7","157.240.228.60","192.168.1.2","320","0x00","443","49971","3262","1115","268","32","0x0018","0","0","0","1","1","0","0","67840","0xe877","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf6ec","192.168.1.2","157.240.228.60","52","0x00","49971","443","1146","3530","0","32","0x0010","0","0","0","0","1","0","0","128000","0x0b47","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xf6ec","192.168.1.2","157.240.228.60","52","0x00","49971","443","1146","3530","0","32","0x0010","0","0","0","0","1","0","0","131072","0x0b17","0",
"4","20",,"0x83fa","0x02","0","1","0","0","85","6","0x5df2","157.240.228.60","192.168.1.2","52","0x00","443","49971","3530","1146","0","32","0x0010","0","0","0","0","1","0","0","67840","0x11e0","0",
"6",,,,,,,,,,,,,,,,"50013","49637","350","265","349","32","0x0018","0","0","0","1","1","0","0","157","0x7e1b","0",
"6",,,,,,,,,,,,,,,,"49637","50013","265","699","0","32","0x0010","0","0","0","0","1","0","0","2048","0x2105","0",
"6",,,,,,,,,,,,,,,,"49637","50013","265","699","264","32","0x0098","0","0","0","1","1","0","1","2048","0x7b7c","0",
"6",,,,,,,,,,,,,,,,"50013","49637","699","529","0","32","0x0010","0","0","0","0","1","0","0","157","0x275b","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","17","0x33fc","192.168.1.2","142.250.182.14","62","0x00",,,,,,,,,,,,,,,,,,
"4","20",,"0x0000","0x02","0","1","0","0","56","17","0x3c00","142.250.182.14","192.168.1.2","58","0x00",,,,,,,,,,,,,,,,,,
"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6",,,,,,,,,,,,,,,,"50013","49637","698","529","0","20","0x0010","0","0","0","0","1","0","0","2048","0x07e8","0",
"6",,,,,,,,,,,,,,,,"49637","50013","529","699","0","32","0x0010","0","0","0","0","1","0","0","2048","0x1bdb","0",
"4","20",,"0x1daf","0x02","0","1","0","0","49","6","0xa8ee","66.203.125.15","192.168.1.2","436","0x22","443","49287","1","1","384","32","0x0018","0","0","0","1","1","0","0","43","0x1959","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xb93f","192.168.1.2","66.203.125.15","52","0x00","49287","443","1","385","0","32","0x0010","0","0","0","0","1","0","0","2048","0x838b","0",
"4","20",,"0x0000","0x02","0","1","0","0","64","6","0xb7e4","192.168.1.2","66.203.125.15","397","0x02","49287","443","1","385","345","32","0x0018","0","0","0","1","1","0","0","2048","0xbace","0",
"4","20",,"0x1db0","0x02","0","1","0","0","49","6","0xaa6f","66.203.125.15","192.168.1.2","52","0x20","443","49287","385","346","0","32","0x0010","0","0","0","0","1","0","0","43","0x8790","0",
